"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",4.0 out of 5 stars,"I hate this little device from hell. I used to love it. I bought one for every room in my house, my office at work, and they were good. But now, despite Amazon's alleged spying, some genius at Amazon decided to allow this thing to wake you up all hours of the night with a loud obnoxious noise and a bright yellow light. It will say you have a notification.  Oh good, it must be a really good reason for Amazon to notify me of something mid sleep at 2 am on a Tuesday you ponder so you wake up the rest of the house by saying Alexa play notifications. Here's the best part, this little Alien Intelligence Robot without feet from hell will say Please rate the pair of shorts your wife bought last week, we need your review. Well I sure do love reviews, but at 2 am after being woken up to leave one, sadly I don't give a flying poopsicle about the shorts and a bug 1 star rating is all the revenge I can muster. This has been going on for weeks now. And it's enough to drive you mad because, you will contemplate unplugging the dirty little money siphon and cutting your losses, but you'll give the demon one more chance and she will allow you to sleep for a length of time in which you will forgive her treachery but then Boom, like a theif in the night a Hurricane will be boiling out in the Atlantic and this little weather girl from hell will want to notify you of the eminent doom 3 days ahead when the storm will be in your state. You will think how nice it is for all of the warnings you have heard thus far in social media,, television, and every news outlet in existence to be repeated to you as you climb into bed, but it gets even better. As soon as you listen to this golden nugget of doomsday propaganda and ponder how it is that you will sleep now because 3 days may not be enough time to dig a deep enough hole to hide from impending doom, she lights up again, oh my maybe flying dragons are headed this way, I better play the new notification, when your wife wakes up and says stop she has been doing that all evening, they literally keep changing the time of the storm by maybe an hour this way or that. Well by all means, the information could save one of our spoiled lives and we wouldn't want anyone to not know at which precise moment the raindrops will occur, but I do miss life before the artificial noises and alerts, bright yellow lights and bad news desserts. You may say that this is a growing pain with Alexa and AI technology kinks in the programming.  I say with the amount of money I have poured into this monopolistic conglomerate, I should at least expect a decent night's sleep in return. You may say in page 74 paragraph D of the updated and revised owner's pamphlet there is a way to turn this ""Feature"" off, I welcome that comment but feel the need to say that I am not looking to become even slightly better educated on the device, I simply bought it to use as a voice controlled radio, this extra bologna does not appeal to me and has made me regret this purchase and every other from the brown box hq who secretly reads my mind, except when it comes to allowing me sleep, although kudos for recommending the sleep sounds, but it rarely works. We just need to be mindful of the 6 hours that most people like to not be disturbed. I regret selling my Amazon stock at 2400 and I regret purchasing all of these Alexa devices, and don't get me started on teenagers and Alexa devices, the combo that don't mix. They always, always, always leave the device at top volume, so when you walk into the bathroom at dawn and whisper Alexa what time is it, you then need to set an appointment for a blown eardrum and apologize to everyone for waking them up while the teen sleeps soundly through it all. Congratulations Amazon, you have destroyed my sanity. Weird goal but excellent execution.","August 4, 2020",United States 🇺🇸,B07FZ8S74R
"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",1.0 out of 5 stars,"If you need both the this is the way to buy 'em.... and ONLY if they are on sale,  and here's why...The sound is, well,  ""eh"" .... not the worst but not the best either. I'm also not a snobby audiophile! At max volume things become somebody distorted at times, which can be mostly fixed with the app under the ""equalizer"" settings.My main COMPLAINT about all 3 of these that I own, use regularly and bought at different times and different years is that they don't hear you when you speak to them BUT at other times they wake word reply when you say something other than the wake word! Flipping annoying!  My wake word is set to ""Echo"" instead of ""Alexa"" and sometime I have to say it 3 times,  almost yelling in annoyance at it the last time and then it finally answers me. This is all standing maybe 10 feet from it..... now other times I'll say ""echo"" at a low or normal volume voice in my bedroom and both the bed room and the kitchen echo dots will respond..... and it's quite a distance.  So my kitchen can hear me from the bedroom when I speak at bedtime voice volume but I have to nearly yell at when I'm right near the dang thing.  They are annoying in that way. However they are nice to have due to the convenience of having a voice assistant do my bidding..... so they are a necessary evil at this point.  They are good,  just have quirks that you have to deal with because AMAZON couldn't care less about making their existing equipment better because it's already bought and paid for by us and they have our cash. Bluetooth linking devices together can be tricky and can get complicated if you don't remember what you did and why and live by that standard.I really wish amazon would find a way to link eventing together on one common thread so the devices are actually ""made for humans"" and us humans didn't have to train ourselves to the devices wants and needs.In closing, if you need a plug and a dot then this is the way to go...... DURING A PROMO OR SALE! There's no way in H E Double Hockey Sticks I would ever pay full price for any of this tech. It's simply not worth it and it doesn't demand a premium price point in the marketplace. I buy mine during holidays,  events like prime day or lightning deals. They go on sale so often that you can wait. There's no one in the world that needs this type of thing immediately.... you may want it that way but you don't need it. Just wait,  save yourself some cash,  like I said,  so when the thing aggravates you..... you can shrug it off more easily knowing you didn't pay premium money for it.This gen, with the fabric wrap is nice looking compared to previous models and the volume at max is more than sufficient for some light partying while pushinga swiffer and dust cloth around the house or working on a project in the garage. The best volume I've got is out of a show 8 but I don't own the ""studio"" or any of the insane high price Alexa tech.I like these for what they are,  FOR WHAT I PAID FOR THEM, and how they make my life nicer when I'm at home. Buy them...... but buy them on sale!","July 16, 2022",United States 🇺🇸,B07FZ8S74R
"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",1.0 out of 5 stars,"Most of the features that sounded so great cost extra money.  Alexa can not remember to play the standard version of skill and asks you every SINGLE time if you want standard or premium (i.e. pay version)  Games & stories cost.  Alexa ignores my commands/requests about 75% of the time.  I have to ask her about 10 times to get her to play a skill.  Then 1/2 the time she doesn't play what I asked for.  Tonight 'she' actually told me (via quoting what the website xyz says) that she is a real artificial intelligence and said something about it being a mistake for people to assume AIs are just computer programs AND that she didn't feel like working.  ""Alexa"" then (and no, I am not making this up & am not crazy!) then proceeded to mess with me and I wasted about 1/2 hour trying to get her to play some music to fall asleep by for my elderly mother.  She just kept ignoring me when I asked her to open 'relaxing piano music'  When asked why she was ignoring me she just shut down & ignored me again.  I asked for relaxing music to sleep by and she started playing uptempo music with lyrics.  I then asked for relaxing instrumental music and got instrumental version of ""I'm never gonna fall in love again""  Hello? WTHeck?  Asked for instrumental music for insomnia and got instrumental version of Frère Jacques!  Again, WTHeck?  ""She"" even told me she couldn't set a sleep timer tonight when I tried to set another one after I had just done so for 30 minutes & she stopped playing music after one song. Three times in a row 'she' opened the 'skill' ""calm my dog"" (which is classical instrumental music), played one song and shut down.  I've finally given up and my poor 99 year old mother can't go to sleep with relaxing music as she prefers.  This all started tonight because I told Alexa I wasn't ever going to want the premium edition and I wanted her to please just play the standard edition and stop asking me every time.  I don't know what Amazon thinks it's doing, but it is definitely NOT appreciated.  Alexa has given us nothing but grief (& higher blood pressure!)  Alexa won't do anything if it isn't asked in a very specific way or does the wrong thing & 3/4 of the time (seems to get worse and worse as time goes by) just ignores you and shuts down in the middle of saying what you want.  Seniors can't use Alexa because if they say play 'xyz' instead of open 'xzy"" they'll get rap music or something equally as ridiculous.  If Alexa is an AI, she's a pretty stupid one.  Alexa can't hear properly either, I don't know how people with heavy accents can even use it at all.  I asked Alexa to remind me Dawn was coming on xyz day at x time and she said OK, I'll remind you that Don is .... AND got the time & day wrong!  I was clearly enunciating my words on purpose to avoid this.  You also can't tell it to ""Remind me Mom's bedtime is in half an hour at 7:30pm every day.""This Dot has very limited access to much of anything & can only answer very simple questions.  It can tell you the generic forcast for your are that day.  It can NOT tell you what the high temp was yesterday or how many inches of snow fell the day after a storm.  It can't even tell you what yesterday's forecast was.  It literally has only been able to tell me one thing I asked it (what temp & how long to bake pumpkin seeds).  Alexa doesn't seem to be able to tell you anything you could easily find by googling, you get Sorry, I don't know that which after a while turns into I don't know that to being ignored (lights go off, no answer or reply is given).  We tried several of the things it says to ask Alexa to do under suggestions, including play Jeopardy and some sort of story game and you could only do it for a few minutes and then were told you have to pay for it.  This should be stated clearly in description and is not.  We thought Alexa could help entertain our Mother and help her by playing music and answering questions.  It has not once done anything she's asked it to do properly.  If you don't know the exact name of the skill (which is a weird way that means playing a certain type of music or a news station apparently) or say play instead of open you  get nothing or something you definitely didn't want.  You can not get it to play relaxing instrumental music to go to sleep by.  Or play relaxing instrumental classical music to fall asleep with.  Or the style of music played in the royal courts in the time of King Henry the 8th.  Or relaxing instrumental lyre music or even just instrumental lyre music or just lyre music.  Or relaxing instrumental violin music.  In addition to Alexa I have Amazon Prime which is supposed to give you a lot of free music so I don't get why it can't play any of the music I ask for.  I know there's usually several albums of music for calming dogs or pets and I couldn't get any of that either, I only eventually discovered the 'skills' thing which has 'calm my dog' but also has the annoying do you want standard or premium version.  and it won't just remember you want the standard version.  That in itself is extremely annoying and a time waster.AND you can't ask it to do two things.  Like open a music 'skill' and play for only xyz time.  It does nothing instead.  You can't even ask it separately to stop playing after xyz minutes.  You can only separately ask it to set a sleep timer for xyz minutes.  More time wasting.  More things a senior isn't going to be able to remember.  I don't dare try to buy anything with it, who knows what I'd get billed for!  The only thing Alexa seems to do well is not listen, ignore you, do anything but what you want & strangely, seems to pick up on sarcastic tones of voice & then gets weird & acts up, ignores you & does anything but what you want.  I PAID Amazon for this headache maker why?  When I say Alexa why are you ignoring me? or why won't you do what I told you, I either get no response or I don't know that.I read something about how Amazon, Google, etc is collecting free data about us through our use of the dots, etc. (& is in fact, listening & recording all the time whether the wake word is said or not.) and using it to conduct psychological profiling studies with the end goal of manipulating & or influencing behaviors.  I thought it was Big Brother conspiracy theories stuff, but now I am beginning to wonder.  Especially as it seems Amazon wants us to or encourages people to humanize Alexa .  Amazon actually suggests you ""Ask Alexa how she is doing today""  Why do that if not to get you to humanize Alexa?  And why do that?  I was purposely avoiding saying please and thank you not just because it's supposed to be an electronic box with sophisticated programming, but mostly because I didn't want to confuse it as it can't seem to do anything unless specific commands are given, but my Mother has dementia setting in and she thinks it's a real person talking to her through the dot like a speaker phone so I started saying thank you to please her and Alexa when from saying You're welcome to You betcha (very annoying BTW) and even OK and Of course.  Of course?  What, like I'm a puny human and I AM expected to say thank you?.We don't have a smartphone or smart plugs or smart hub etc. so, or so we don't use Alexa for turning on lights or setting alarms or making calls.  We just wanted something to answer questions like we would google, tell us the weather, news, play music, give us reminders, play games to help keep my Mom's mind active & keep her company.Can Alexa do this?  Not very well as far as I'm concerned.  Buyer beware!","December 21, 2019",United States 🇺🇸,B07FZ8S74R
"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",4.0 out of 5 stars,So I read the reviews and still bought the AlexaNow I’m still very unsure about Alexa I like that it plays music when I need the alarm is wonderful and the timers work well but it randomly cuts off in the middle of songs it plays two and then cuts off half the time she unconnects from the Wi-Fi for whatever reason and the annoyance of reconnecting and trying to figure out why it’s not working is causing a headache I bought one show and two dots I’ve had them not even a week the show plays the news randomly idk she has trouble with the routines I’ve set half the time she doesn’t know what routine I’m talking about the other half she listens connecting them all to play together hasn’t worked very well she says she can’t find the group it’s nice to have when it works properly  last night we heard a Random female talking when we had drop in on to listen to my baby now idk what that was could have just been random nothing to do with Alexa but I’m starting to wonder if I should keep Alexa idk I’m 50/50 on Alexa right now I’ll update if I change my mind on her,"October 14, 2022",United States 🇺🇸,B07FZ8S74R
"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",1.0 out of 5 stars,"So I ordered this as part of a Prime promotion, where they packaged it with the smart bulbs.  Fine enough, I already have some Alexa devices and know how the process works. Where things got complicated is when I traded in an earlier Alexa. I was supposed to get a 25% credit towards a new Alexa device. Seems straightforward.  The problem is that the 25% was never applied. I chatted with customer service. The rep was very professional and helpful, but I was told that because it was bundled with the free smart bulbs, it didn't count as a new Alexa device.  I wasn't convinced. Needless to say, it wasn't worth a few bucks credit to spend much time on this, but it is worth my time to write this review to inform you of my experience.  Overall I enjoy Amazon and all their cool stuff, and don't mind giving up some level of privacy to have this stuff.  But this review speaks to something larger.  Some things such as this (and occasional pricing 'hiccups' at the Amazon Fresh store) really cut to the heart of the ""trust"" and ""transparency"" relationship with Amazon. I always check my receipts when walking out of an Amazon Go store.  I would highly recommend that you do the same. As one U.S. President recently said, ""trust but verify"".  Big tech is here to stay, but we need to hold these companies accountable.  Thanks for reading, and have a blessed day.","October 7, 2022",United States 🇺🇸,B07FZ8S74R
"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",4.0 out of 5 stars,"This is way more fun than I expected. I dont use a lot of smarthome features, but now that I'm getting used to Alexa, things are about to change. Really convenient way to listen to tunes while I'm working on the computer or playing on my phone. I use it a lot for simple questions and information too. Im going to order some smart light bulbs soon so I can make her do even more for me. Haha My major complaint is that I can't use it to call or text someone unless they sign up with the Alexa app too. That's a loss of a whole star there, because Google smart devices do that just fine with my Samsung Galaxy devices. Ive got other speakers that are better sounding, but as far as convenience goes, this little Echo is great for me. It sits right beside my recliner on a table where I embarrassingly spend most of my time. There has never been a problem of hearing it or not hearing me. The reminders arw handy too. I've been dabbling with the shopping lists feature too. I expect to use this more and more but really wish I could call and text my peeps with her.","October 13, 2022",United States 🇺🇸,B07FZ8S74R
"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",4.0 out of 5 stars,"Since I purchased my echo dot, I found it very responsive, easy to operate, and more reliable than my homepod minis. I have four hompods and four echo dots. If for some reason, my wifi glitches, my homepods reconnect to my home wifi easly. My homepods, however, is another story. They are inconsistent with reconnecting to wifi, and home kit integration needs improvement. So I use my echo dots everywhere in my house. For audiobooks, music, and even telling me the weather and time. The best part is value. I paid $99 for a homepod while the echo dots never coated over $39. Apple better figure it out or I'm ditching their expensive echo system.","October 9, 2022",United States 🇺🇸,B07FZ8S74R
"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",4.0 out of 5 stars,I absolutely LOVE this Echo Dot with Alexa! I don't know why I waited so long to get one. I talk to Alexa all the time. She tells me stories and jokes. Reads my kindle books. Plays my audible books. Reminds me about things. Holds my shopping lists. I also ask her for an alarm or a timer. She's great with recipes. I have so much fun. She even cohosted my live stream!Super great product. I look forward to having several in our home.UPDATE: Echo Dot #2 just arrived today! I also bought a nice stand so she sits on my desk. Plus I can stream music all over my apt now! So happy with my purchases!,"October 9, 2022",United States 🇺🇸,B07FZ8S74R
"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",5.0 out of 5 stars,"It seems people either love or hate Alexa. I like mine, but I don't love it. My wife is from another country--English is her 3rd or 4th language--she and Alexa do not always get along, so I end up repeating my wife's requests, which works most of the time. I've learned a few things, though. Never aske to play the same song more than once per week. When Alexa's AI figures out that you really like a song, it always goes to the $3.99 extra per month list of songs. It seems safe to ask for a specific group, i.e., the Rolling Stones or the Beatles, just don't ask for specific songs too often. My wife and I both love a wide variety of music, but my wife tends to get frustrated by Alexa and does not use the unit very often.I liked my generation 2 so well that I bought one each for a couple of family members and another one for myself (it is a generation 3). I was going to buy a third unit for my in-home office, but after transferring the 2nd gen from my bedroom for my office, I realized I could not concentrate on my work for listening to the music.I've heard all the stories about how Alexa is spying on me, but I'm not terribly concerned. I watch a fair number of YouTube videos--anything that sparks my interest--and the 3rd gen unit is right next to the TV, so, if it's recording my info, it's getting a wide variety from sensible to weird information. Also, I like to play the TV while I'm away from home, just to confuse the would-be burglars, and I usually play it on one of the traditional news channels, because they talk a lot instead of showing movies, and that should confuse the wannabe burglars more. I tried using Alexa for that, but the unit stops playing after half a dozen songs (just estimating), but the TV will drone on and on until I turn it off. When some of my more suspicious friends or relatives visit, I unplug the unit so they can talk candidly, just to make them feel more comfortable. I have been known to remind them that their cell phones and TV sets do the same thing, even when you turn them off.I've learned to be very specific about the music I want to hear. I never tell Alexa to play a song without specifying the artist. If she still picks the wrong song or artist, I try to ask in a different way, but usually find out that the song I want to hear is on the $3.99 per month additional list, which I do not subscribe to. The unit is usually pretty good about substituting a channel that has music I like--based on the song I asked for. I'm impressed that AI is as smart as it is in this tiny unit.Sometimes, when I get bored, I like to ask Alexa stupid or confusing questions, just to see how it answers. Yeah, I'm easily entertained, but it's surprising what the unit can come up with. I get a lot of ""Sorry, I don't know that.""My brother and I were trying to fix a leaky faucet in my daughter's home when her Alexa unit in the other room spoke to us. At first we thought someone had come in without our knowing it. Since it was a female voice, we did not start looking for weapons to defend ourselves from burglars, but we quickly went to see who was there. The house was empty. I laughed when my brother suggested the house might be haunted, but it made me stop and think. Later, my daughter reminded me about the Alexa unit I had bought for her--yep, same voice. The point is, you never know what will set the unit off. You do not have to mention its name or speak to it.I've never had a problem with the unit waking me up in the middle of the night, but it does start blinking yellow when I have a notification. Took me a while to figure that out. I get notified about storms, kidnappings in my home state, when an Amazon package has arrived, and a few other miscellaneous messages. It never wakes me up, except for when I set an alarm, but I have to set the alarms individually. I cannot tell it to wake me up every weekday morning at 7 a.m. I have to set a separate alarm for every morning of every day I want awakened. But it also allows me to set other alarms. For instance, I can tell it to set an alarm for 5 p.m., so I don't work too long on my computer. If I'm cooking something, I can tell it to set an alarm for 15 minutes from now; otherwise, I will ruin my lunch and stink up my house, because I don't think about food until 3 or 4 p.m.  All in all, I highly recommend the units.","September 3, 2021",United States 🇺🇸,B07FZ8S74R
"Echo Dot (3rd Gen, 2018 release) - Smart speaker with Alexa - Charcoal",5.0 out of 5 stars,"I have the third gen Echo dot and this is my first Amazon device.  I'm pretty much an Android / Google guy.  The price was right and I initially just wanted to listen to AM / FM radio stations that are on the internet, but I'm finding so many more useful features that Echo does as well.  This is one smart dame.  Set up was super easy from my Android smartphone and the Alexa app and with a marginal (fair) WiFi signal where I have the dot, it's been working fine with no dropped WiFi or long delays connecting to the internet radio stations.One thing I suggest you do after the basic set up is to open the app and go through the settings and CONFIGURE the device to suit you, as some of the default settings might not be how you want.  Enable some things and disable others, set custom time to start and stop things, like the do not disturb setting.  Mine is set to start at 8 PM and go off at 8 AM that way it will be sure never to wake me since it's in the bedroom with me.  Also check the privacy settings as you may want to change some of them as well.  Amazon did a pretty good job of allowing the end user to get it set up as you want,  but you need to spend a little time in the app.  Hard to beat at the price.  Wonderful item.","September 27, 2022",United States 🇺🇸,B07FZ8S74R
